Company,Promoter_Pledge,Auditor_Changes,Related_Party_Transactions,Independent_Director_Percentage,ESG_Disclosure
Reliance Industries,0,0,Low,55,High
Infosys,0,0,Low,60,High
Tata Consultancy Services,0,0,Low,58,High
HDFC Bank,0,0,Low,62,High
ICICI Bank,0,0,Low,67,High
Hindustan Unilever,0,0,Low,50,High
Bharti Airtel,0,0,Medium,50,High
State Bank of India,0,1,Medium,45,High
ITC,0,0,Low,54,High
Larsen & Toubro,0,0,Medium,57,High
Kotak Mahindra Bank,0,0,Low,60,High
Axis Bank,0,0,Low,64,High
HCL Technologies,0,0,Low,60,High
Bajaj Finance,0,0,Low,50,High
Sun Pharmaceutical Industries,0,0,Medium,55,High
Tata Motors,0,1,Medium,50,High
Mahindra & Mahindra,0,0,Medium,58,High
Maruti Suzuki India,0,0,Low,50,High
NTPC,0,1,Medium,50,High
UltraTech Cement,0,0,Medium,54,High
Power Grid Corporation of India,0,0,Low,50,High
Tata Steel,2,1,Medium,50,High
Titan Company,0,0,Low,50,High
Asian Paints,0,0,Low,55,High
Coal India,0,1,Medium,50,Medium
Bajaj Finserv,0,0,Low,50,High
Adani Enterprises,3,1,High,50,Medium
Adani Ports & SEZ,2,1,High,50,Medium
Oil & Natural Gas Corporation,0,1,Medium,45,Medium
Hindalco Industries,0,0,Medium,55,High
Bharat Electronics,0,0,Low,50,High
Grasim Industries,0,0,Medium,50,High
Tech Mahindra,0,0,Low,58,High
Wipro,0,0,Low,63,High
JSW Steel,14,1,High,50,High
IndusInd Bank,0,0,Low,58,High
Nestle India,0,0,Low,50,High
Trent,0,0,Low,50,High
Tata Power,1,0,Medium,50,High
Siemens,0,0,Low,50,High
Bajaj Auto,0,0,Low,50,High
Dr. Reddy's Laboratories,0,0,Low,67,High
Cipla,0,0,Low,60,High
SBI Life Insurance,0,0,Low,50,High
HDFC Life Insurance,0,0,Low,55,High
Apollo Hospitals,12,0,Medium,50,High
Eicher Motors,0,0,Low,50,High
Divi's Laboratories,0,0,Low,50,High
Britannia Industries,0,0,Low,50,High
Hero MotoCorp,0,0,Low,50,High
Bharat Petroleum Corporation,0,1,Medium,45,Medium
Indian Oil Corporation,0,1,Medium,45,Medium
GAIL (India),0,0,Medium,50,Medium
Hindustan Zinc,0,1,High,50,High
Vedanta,99,2,High,50,Medium
Zydus Lifesciences,0,0,Low,50,High
Ambuja Cements,0,1,Medium,50,High
Shriram Finance,0,0,Low,56,High
Bank of Baroda,0,1,Low,45,Medium
Punjab National Bank,0,1,Low,42,Medium
Canara Bank,0,1,Low,45,Medium
Union Bank of India,0,1,Low,42,Medium
Life Insurance Corporation of India,0,0,Low,50,High
SBI Cards and Payment Services,0,0,Low,50,High
ICICI Lombard General Insurance,0,0,Low,58,High
ICICI Prudential Life Insurance,0,0,Low,55,High
Godrej Consumer Products,0,0,Low,50,High
Dabur India,0,0,Low,50,High
Marico,0,0,Low,56,High
Varun Beverages,0,0,Low,50,High
DLF,0,0,Medium,50,Medium
Macrotech Developers,0,0,Medium,50,Medium
Godrej Properties,0,0,Medium,50,High
IRCTC,0,0,Low,50,Medium
InterGlobe Aviation,0,1,Medium,50,High
Info Edge (India),0,0,Low,50,High
Zomato,0,0,Low,57,High
Jio Financial Services,0,0,Medium,50,High
Avenue Supermarts,0,0,Low,50,High
Cholamandalam Investment and Finance,0,0,Low,50,High
Muthoot Finance,0,0,Low,50,High
REC Limited,0,0,Medium,45,Medium
Power Finance Corporation,0,0,Medium,45,Medium
Oil India,0,1,Medium,45,Medium
Hindustan Aeronautics,0,0,Low,50,High
Mazagon Dock Shipbuilders,0,0,Low,50,Medium
Solar Industries India,0,0,Low,50,Medium
Torrent Pharmaceuticals,0,0,Low,50,High
Lupin,0,0,Low,50,High
Mankind Pharma,0,0,Low,50,High
TVS Motor Company,0,0,Low,50,High
Bosch,0,0,Low,50,High
Samvardhana Motherson International,2,0,Medium,50,High
Havells India,0,0,Low,50,High
Polycab India,0,0,Low,50,High
ABB India,0,0,Low,50,High
Cummins India,0,0,Low,50,High
CG Power and Industrial Solutions,0,0,Medium,50,High
United Spirits,0,0,Low,50,High
Berger Paints India,0,0,Low,50,High
